domain	final_url	status	tech_stack	jsonld_event_count	events_subpage	tribe_api	tier_guess	candidate_urls
circlelandtrust.ca	https://circlelandtrust.ca/	200	wordpress	0	no	no	T1	https://circlelandtrust.ca/get-ready-for-tax-season-early-list-of-free-discounted-tax-clinics-2025/|https://circlelandtrust.ca/our-work/capital-repair-program/
climatejusticeto.com	https://climatejusticeto.com/	200	wordpress	0	yes	yes	T1	https://climatejusticeto.com/events/|https://open.spotify.com/show/7oo861j0fy8JZ0u6C2gAmm?si=A8FBmc3NRaSQwSpZXC6IJg
socialinnovation.org	https://socialinnovation.org/	200	wordpress,elementor	0	yes	no	T1	https://socialinnovation.org/offering/cap/|https://socialinnovation.org/space/rooms/event/|https://socialinnovation.org/where-change-happens/events/|https://socialinnovation.org/event_auto/in-person-clean-questions-clean-toronto-february-24-25-2026/|https://socialinnovation.org/event_auto/how-can-i-improve-myself-and-the-world-around-us/|https://socialinnovation.org/event_auto/climate-coffee-toronto/
cliffcrestbutterflyway.com	https://www.pollinatorgarden.ca/	200	wordpress,wix,elementor	0	yes	no	T1	https://www.pollinatorgarden.ca/workshops|https://www.pollinatorgarden.ca/subscribe
coalminetheatre.com	https://www.coalminetheatre.com/	200	squarespace	0	no	no	T2	https://www.coalminetheatre.com/seasonpass-customer-guide|https://www.coalminetheatre.com/season-9-1|https://www.coalminetheatre.com/season-9|https://www.coalminetheatre.com/season-8-1|https://www.coalminetheatre.com/season-7|https://www.coalminetheatre.com/season6|https://www.coalminetheatre.com/season-5|https://www.coalminetheatre.com/season-4|https://www.coalminetheatre.com/season-3|https://www.coalminetheatre.com/season-2
collegepromenadebia.ca	https://www.collegepromenadebia.ca/	200	static	0	no	no	T1	https://www.collegepromenadebia.ca/uploads/1/2/6/7/126767564/2025_-_cpbia__marketing_and_events_coordinator_v2.pdf|https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/?WT.mc_id=SL24-2024-6-Google&gad_source=1&gclid=Cj0KCQjwv7O0BhDwARIsAC0sjWOewYzWDpbqLfvsPyYG6rziDVB4z_X8ZFUpW9-UOAOT0uHahfDU9HUaAhMiEALw_wcB
collegewestbia.ca	https://www.collegewestbia.ca/	200	static	0	no	no	SKIP	
creativecodetoronto.github.io	https://creativecodetoronto.github.io/	200	static	0	no	no	SKIP	
chinatownbia.com	https://chinatownbia.com/	200	wordpress,elementor	0	no	no	T2	https://chinatownbia.com/eventsnews/|https://chinatownbia.com/eventsnews/2026lny/|https://chinatownbia.com/eventsnews/current-promos/|https://chinatownbia.com/eventsnews/lny2026-2/|https://chinatownbia.com/past-events/|https://chinatownbia.com/eventsnews/tcf2025/|https://chinatownbia.com/eventsnews/lny2025/|https://chinatownbia.com/eventsnews/tcf2024/|https://chinatownbia.com/eventsnews/huron2024/|https://chinatownbia.com/eventsnews/lny2024/
comedybar.ca	https://comedybar.ca/	200	static	0	no	no	T1	https://comedybar.ca/public/event|https://comedybar.ca/special-events|https://comedybar.ca/public/Event|https://comedybar.ca/shows/natalie-cuomo|https://comedybar.ca/shows/dylan-adler|https://comedybar.ca/shows/one-piece-improvised|https://comedybar.ca/shows/mike-hanford|https://comedybar.ca/shows/todd-glass|https://comedybar.ca/shows/queer-trash-trivia|https://comedybar.ca/shows/the-good-the-bad-the-young--the-restless
